,Mes,Cbh-Spearman,Cbh-Kendall,Cbh-Spearman_1,Cbh-Kendall_1
0,1,0.008632451205742948,0.007074693095074622,-0.10394355284583379,-0.08000912679826218
1,2,0.05579078905785166,0.04573353584008257,0.08955791431836685,0.06775748899743639
2,3,0.056659307013306744,0.04647326108036576,0.08474977514622112,0.06553493549357339
3,4,0.05819766442734537,0.0478620890398809,0.08060448221814848,0.06158462730607347
4,5,0.044748446079449465,0.03667172205927111,-0.1052987889996363,-0.0795275464324817
5,6,0.017764547250038773,0.01458530289797209,0.3946038572525806,0.3086966128585194
6,7,0.021693963561995076,0.017780077856527368,,
7,8,0.03731997487724447,0.030543150933584295,-0.1568526749978754,-0.13423623607644417
8,9,0.022528513188869802,0.01848298961224386,0.03253557958987361,0.02859994240915833
9,10,0.045782704360811326,0.03756116471366112,0.11974359276192192,0.09101110512506833
10,11,0.02734217123366426,0.022277344869785276,-0.17160719029110363,-0.1333778807269987
11,12,0.060641510986240946,0.049787125180698735,0.08582722405816716,0.06671444687747737
