,Mes,Cin-Spearman,Cin-Kendall,Cin-Spearman_1,Cin-Kendall_1
0,1,0.03474834791741992,0.02813774889156936,0.1652865018888767,0.1234371739104134
1,2,0.011482009174023014,0.00912099368314372,-0.0240066420752511,-0.02082896736315699
2,3,0.0008857548066903513,0.0007504277373263893,0.09068895408544524,0.06694365916974053
3,4,0.03653669917467544,0.029618024490996556,-0.20643976633266323,-0.15916969122930322
4,5,0.05431156009597448,0.044354142110389655,0.18164975363768865,0.15811388300841894
5,6,-0.09246910556201934,-0.07509093806580722,-0.03682714621051773,-0.07715167498104596
6,7,0.11322770341445956,0.09428090415820634,,
7,8,-0.09060271772569836,-0.07388862948193456,-0.04045199174779453,-0.030934411244487297
8,9,-0.041408454148903526,-0.03366305591149851,0.0,0.0
9,10,0.016251511395233093,0.013393605951943648,0.09350562434868093,0.08554150880418872
10,11,-0.07159537913265313,-0.058134533046891555,-0.2094084056041462,-0.16239736528611923
11,12,-0.006184347535485549,-0.004878233528481702,0.04765253768178708,0.03639069294704974
