,Mes,Cpp-Spearman,Cpp-Kendall,Cpp-Spearman_1,Cpp-Kendall_1
0,1,0.14816841363769714,0.12381770778411882,0.11174863037131706,0.0873387309293042
1,2,0.19371625184524616,0.15980993224939102,0.0846816013294668,0.06396283221393281
2,3,0.1973754662751176,0.1627458050050107,-0.019501195290346128,-0.014044390785795065
3,4,0.1375222522878107,0.11602010068173717,0.19281480194977532,0.1506934229979054
4,5,0.07135558081229354,0.0624045585860749,0.3414183960736915,0.2706166748535547
5,6,0.07050712785927259,0.06480247174140154,0.3571926157084444,0.295173994667022
6,7,0.12986679999155054,0.12366326842469164,,
7,8,0.0711941047525508,0.0642479535402536,0.19483959733506212,0.15951465589382513
8,9,0.08408890753954301,0.07306415274904134,0.07701140920563634,0.06605855615892968
9,10,0.13572600145338445,0.11552702364475262,-0.0349726501923276,-0.02456962288963743
10,11,0.18230200678252856,0.15545733446647322,0.08869668470998507,0.07076343524608576
11,12,0.1620830339650476,0.13554712365046934,0.046603137453335594,0.03554374323085143
