,Mes,Tcc-Spearman,Tcc-Kendall,Tcc-Spearman_1,Tcc-Kendall_1
0,1,0.02975660657785581,0.025124189239718448,-0.05286657532295807,-0.0410513241525439
1,2,-0.005030250619043959,-0.0043049649825702575,0.06482286148286902,0.050955612169083585
2,3,0.025438717073232524,0.021555706911604567,-0.012821347392535274,-0.010510065819546376
3,4,-0.0021240318507727285,-0.0017476626164666888,-0.037969635868515636,-0.02562791689462366
4,5,-0.013583170974110017,-0.011116501847790101,0.07006070736306395,0.05728636103690136
5,6,0.01960337454659703,0.016008683281078514,-0.19121553079767376,-0.1648418247072847
6,7,0.06331389031299632,0.051927684484714555,,
7,8,0.021508500719484947,0.017566368475629306,-0.08183362839629847,-0.0736119501971158
8,9,0.014338927321859079,0.011744729387274604,0.05997323358760666,0.05140831914938598
9,10,0.014843669467692099,0.012187468111619392,0.06017088293606271,0.04845869555966581
10,11,0.052515041908283266,0.04356433593196519,0.06553292581802991,0.05099191886233263
11,12,0.008786803172254928,0.0072778098623520245,-0.05702841613069856,-0.04665339355263268
