,Mes,Total pp-Spearman,Total pp-Kendall,Total pp-Spearman_1,Total pp-Kendall_1
0,1,0.13190939893848244,0.10832956369808668,0.10387590846688174,0.07929429906628775
1,2,0.1659674467134923,0.13543506180676587,0.12475240058012255,0.09433328607130348
2,3,0.18908947216756683,0.15429125693556928,0.033011210078490005,0.02521036012590953
3,4,0.13401797646526523,0.11043560811976488,0.19566155269071883,0.14788245694603905
4,5,0.06239778761952806,0.05235545438921951,0.3451362603369592,0.27102175083720664
5,6,0.0637326625644829,0.05607709202891361,0.27161877386220107,0.2122557619174156
6,7,0.09470665657969915,0.0874954801216073,,
7,8,0.06636324435428555,0.057400189160381726,0.1774255303452229,0.14211590879259128
8,9,0.07640828977367571,0.06398902720045149,0.12076854544743808,0.09815072648877605
9,10,0.12238122034080653,0.10145013449725296,-0.04810458967700157,-0.03491258648262566
10,11,0.17690725134196064,0.14736214534598116,0.11394998825901498,0.08845692205036021
11,12,0.14399210365106827,0.11834859422197501,0.0375417770818141,0.02696744298145461
